input;output
Komodifikasi Khalayak: Pengertian dan Contohnya;Neutral
Persepsi: Pengertian dan Contohnya;Neutral
Soal dan Jawaban Bilangan Positif dan Negatif;Neutral
Cara Menyebutkan Tanggal dan Tahun dalam Bahasa Inggris ;Neutral
Bagaimana Arus Konveksi Terjadi?;Neutral
"[HOAKS] Abaikan Permohonan Anwar Ibrahim, Jokowi Siap Serang Malaysia Usai Tahun Baru";Negative
[HOAKS] Ratusan Rudal Australia Mendarat di Jantung Konvoi TNI;Negative
"INFOGRAFIK: 18 Partai Politik Peserta Pemilu 2024, Setelah Partai Ummat Lolos";Neutral
[HOAKS] Fajar Sad Boy Meninggal Dunia karena Kecelakaan;Negative
Kaleidoskop Hoaks 2022: Berbagai Kabar Hoaks Mencatut Nama Ma'ruf Amin;Negative
Serangan Rudal Rusia di Kyiv Tewaskan 1 Orang ;Negative
"Pencurian Besar-besaran Konverter Katalitik di Inggris, Capai 100.000 dalam 3 Tahun";Negative
"Heboh Penampakan Cahaya Aneh di Langit Las Vegas, Warga: Itu UFO!";Positive
Brasil Sambut Presiden Baru Sekaligus Lepas Raja Sepak Bolanya;Neutral
"Bercanda soal Bom, Perempuan WNI Ditangkap Petugas Bandara Malaysia";Negative
"Sinopsis CJ7, Bioskop Trans TV 1 Januari 2023";Neutral
Kondisi Indra Bekti Usai Operasi: Sempat Lupa Nama Anak;Negative
"Tidur Pulas, Indra Bekti Disebut Tak Pernah Cukup Istirahat";Positive
"Tiket Konser EXO-SC Dipatok Rp1-3 Juta, Dijual Mulai 6 Januari";Neutral
Tasya Kamila Melahirkan Anak Kedua;Positive
"Bali Macet karena Diserbu Wisatawan, Ini 4 Tips Menghindarinya";Negative
"Atraksi Gajah di Way Kambas Akan Ditiadakan, Demi Kesejahteraan Satwa";Positive
"Masjid Al Jabbar Diresmikan, Bisa Datang dan Mampir ke 4 Tempat Ini";Positive
"Tahun Baru 2023, Bisa Main ke 4 Tempat Wisata di Jakarta Ini";Positive
Pantai Parangtritis Diserbu 18.000 Wisatawan Jelang Tahun Baru;Positive
40 Link Download Twibbon Tahun Baru 2023 dan Cara Pakainya ;Positive
4 Cara Menghilangkan Iklan di HP Xiaomi agar Tidak Mengganggu;Neutral
Cara Menyembunyikan Foto atau Video di Instagram yang Di-tag Orang Lain ;Neutral
"Jadwal M4 Mobile Legends Hari Ini, RRQ Hoshi Main Dua Kali";Neutral
3 Cara Langganan Amazon Prime Video lewat HP dan PC;Neutral
"8 Cara Menghilangkan Bau Makanan di Tangan, Coba Gosok ke Panci";Neutral
6 Makanan yang Berpotensi Picu Lambung Bocor;Neutral
"Air yang Tercemar Tinja Tetap Bisa Diminum, Bagaimana Caranya?";Neutral
"5 Kebiasaan untuk Mencegah Katarak di Usia Muda, Pakai Kacamata Hitam";Positive
NYALANG: Para Penjaga Dunia;Neutral
"Selain Wortel, Ini 5 Makanan yang Dapat Diberikan pada Kelinci";Neutral
"Cara Mengatasi Saluran Air Bak Cuci Piring Mampet, Pakai Cuka";Neutral
4 Hal yang Perlu Dipertimbangkan Saat Memilih Meja Kopi;Neutral
"6 Hama yang Bersembunyi di Loteng Rumah, dari Tikus sampai Ular";Negative
8 Barang yang Harus Disingkirkan Setelah Liburan Akhir Tahun;Neutral
"Korut Krisis, Orang-orang Elite Banyak Pakai Barang Mewah Palsu";Neutral
"Rusia Serang Ukraina Jelang Tahun Baru, 1 Orang Tewas";Negative
Paus Benediktus Bakal Dimakamkan di Gua Vatikan;Neutral
"Reshuffle Besar-besaran, Kim Jong Un Ganti Menhan & Sekretaris Partai";Neutral
"Awal Tahun Baru, Ukraina Dihantam Serangan Udara Rusia Lagi";Negative
[POPULER TREN] Ucapan Selamat Tahun Baru 2023 | Makanan yang Dihindari Penderita Darah Tinggi;Positive
"Kumpulan Twibbon, Kata-kata dan Ucapan Selamat Tahun Baru 2023";Positive
Rincian UMP 2023 yang Mulai Berlaku Hari Ini;Neutral
Update Corona 1 Januari 2023: Omicron XBB Merebak di AS | Ahli Bantah Varian Delta Kembali di China;Negative
"Mulai Hari Ini, BBM Jenis Ini Dilarang Dijual di Indonesia";Neutral
"Semarang Banjir, KAI Minta Maaf Perjalanan Harus Memutar";Negative
Pedagang di Monas Keluhkan Omzet Menurun Drastis Imbas Cuaca Ekstrem;Negative
Kilas Balik Dinamika Bursa Saham Sepanjang 2022;Neutral
"Pahami Aturan Cukai, Pungutan yang Bikin Rokok Makin Mahal";Neutral
"Listrik di Bintan dan Batam Alami Gangguan, Sebagian Wilayah Padam";Negative
"Pelni Cetak Laba Rp 113 M hingga Juni, Angkut 2,6 Juta Penumpang";Positive
"Gembar-gembor El Nino Ancam Pasokan Pangan, Demi Buka Keran Impor?";Negative
"Digarap 2 Konglomerat, Proyek Tol Tembus PIK Rp 23 T Rampung 2026";Positive
"Harga Referensi CPO Naik Jadi US$ 826,48/MT";Positive
Jokowi Pamer Kebangkitan Ekonomi RI di Depan Para Pengusaha Batik;Positive
Diskusi Mahasiswa Unair yang Undang Rocky Gerung Mendadak Dibatalkan;Neutral
PBNU Dukung Anwar Iskandar Jadi Ketua Umum MUI;Positive
Panji Gumilang Resmi Ditahan di Kasus Penistaan Agama;Negative
"Panji Gumilang Tersangka, PBNU Siap Tampung Santri Al Zaytun";Neutral
Mahkamah Agung Tolak Kasasi Politikus PDIP Mardani Maming;Negative
Tanda Sederhana yang Gambarkan Kecerdasan Anak;Positive
5 Macam Gejala Sakit Kepala dan Kenali Penyebabnya;Neutral
Cara Ampuh Menghilangkan Jerawat Bruntusan di Pipi;Neutral
7 Jenis Minuman yang Baik Dikonsumsi Setelah Makan Banyak Daging;Neutral
Benarkah Cengkeh Baik untuk Kesehatan Rambut?;Neutral
"Spasojevic Mau Gilas Filipina, Ingatkan Teman Harus Siap Cetak Gol";Positive
Sanrawat Buka Suara Usai Tekel Horor 'Karateka' kepada Saddil;Negative
"Gaet Ronaldo, Follower Al Nassr Meroket Gila-gilaan";Positive
"Usai Rekrut Ronaldo, Al Nassr Pimpin Klasemen";Positive
"Top 3 Sports: Calon Lawan Indonesia di AFF, Thailand Bisa Tersingkir";Neutral
